title,revenue_worldwide,revenue_domestic,domestic_pct,revenue_foreign,foreign_pct,release_year,rank,title_key
Mission: Impossible II,546388108.0,215409889.0,39.4,330978219.0,60.6,2000,,mission: impossible ii
Gladiator,460583960.0,187705427.0,40.8,272878533.0,59.20000000000001,2000,,gladiator
Cast Away,429632142.0,233632142.0,54.400000000000006,196000000.0,45.6,2000,,cast away
What Women Want,374111707.0,182811707.0,48.9,191300000.0,51.1,2000,,what women want
Dinosaur,349822765.0,137748063.0,39.4,212074702.0,60.6,2000,,dinosaur
How the Grinch Stole Christmas,345842198.0,260745620.0,75.4,85096578.0,24.6,2000,,how the grinch stole christmas
Meet the Parents,330444045.0,166244045.0,50.3,164200000.0,49.7,2000,,meet the parents
The Perfect Storm,328718434.0,182618434.0,55.60000000000001,146100000.0,44.4,2000,,the perfect storm
X0Men,296339528.0,157299718.0,53.1,139039810.0,46.9,2000,,x0men
What Lies Beneath,291420351.0,155464351.0,53.29999999999999,135956000.0,46.7,2000,,what lies beneath
Scary Movie,278019771.0,157019771.0,56.49999999999999,121000000.0,43.5,2000,,scary movie
Charlie's Angels,264105545.0,125305545.0,47.4,138800000.0,52.6,2000,,charlie's angels
Erin Brockovich,256271286.0,125595205.0,49.0,130676081.0,51.0,2000,,erin brockovich
Unbreakable,248118121.0,95011339.0,38.3,153106782.0,61.7,2000,,unbreakable
Gone in 60 Seconds,237202299.0,101648571.0,42.9,135553728.0,57.10000000000001,2000,,gone in 60 seconds
Chicken Run,224834564.0,106834564.0,47.5,118000000.0,52.5,2000,,chicken run
Vertical Limit,215663859.0,69243859.0,32.1,146420000.0,67.9,2000,,vertical limit
The Patriot,215294342.0,113330342.0,52.6,101964000.0,47.4,2000,,the patriot
"Crouching Tiger, Hidden Dragon",213525736.0,128078872.0,60.0,85446864.0,40.0,2000,,"crouching tiger, hidden dragon"
Miss Congeniality,212742720.0,106807667.0,50.2,105935053.0,49.8,2000,,miss congeniality
Traffic,207515725.0,124115725.0,59.8,83400000.0,40.2,2000,,traffic
Hollow Man,190213455.0,73209340.0,38.5,117004115.0,61.5,2000,,hollow man
102 Dalmatians,183611771.0,66957026.0,36.5,116654745.0,63.5,2000,,102 dalmatians
Big Momma's House,173959438.0,117559438.0,67.6,56400000.0,32.4,2000,,big momma's house
The Emperor's New Groove,169327687.0,89302687.0,52.7,80025000.0,47.3,2000,,the emperor's new groove
Nutty Professor II: The Klumps,166339890.0,123309890.0,74.1,43030000.0,25.900000000000002,2000,,nutty professor ii: the klumps
Scream 3,161834276.0,89143175.0,55.1,72691101.0,44.9,2000,,scream 3
Chocolat,152699946.0,71509363.0,46.8,81190583.0,53.2,2000,,chocolat
"Me, Myself & Irene",149270999.0,90570999.0,60.699999999999996,58700000.0,39.3,2000,,"me, myself & irene"
The Beach,144056873.0,39785027.0,27.6,104271846.0,72.4,2000,,the beach
Remember the Titans,136706683.0,115654751.0,84.6,21051932.0,15.4,2000,,remember the titans
PokÃ©mon the Movie 2000,133949270.0,43758684.0,32.7,90190586.0,67.3,2000,,pokã©mon the movie 2000
Space Cowboys,128884132.0,90464773.0,70.2,38419359.0,29.799999999999997,2000,,space cowboys
U0571,127666415.0,77122415.0,60.4,50544000.0,39.6,2000,,u0571
The Family Man,124745083.0,75793305.0,60.8,48951778.0,39.2,2000,,the family man
Road Trip,119754278.0,68540777.0,57.2,51213501.0,42.8,2000,,road trip
Coyote Ugly,113916474.0,60786269.0,53.400000000000006,53130205.0,46.6,2000,,coyote ugly
Final Destination,112880294.0,53331147.0,47.2,59549147.0,52.800000000000004,2000,,final destination
