title,revenue_worldwide,revenue_domestic,revenue_foreign,release_year
Avengers: Endgame,2799439100.0,858373000.0,1941066100.0,2019
Avatar,2743577587.0,749766139.0,1993811448.0,2009
Avatar: The Way of Water,2320250281.0,684075767.0,1636174514.0,2022
Star Wars: Episode VII 0 The Force Awakens,2068223624.0,936662225.0,1131561399.0,2015
Avengers: Infinity War,2048359754.0,678815482.0,1369544272.0,2018
Spider0Man: No Way Home,1912233593.0,804793477.0,1107440116.0,2021
Jurassic World,1670400637.0,652270625.0,1018130012.0,2015
The Lion King,1656943394.0,543638043.0,1113305351.0,2019
Inside Out 2,1595983694.0,637852840.0,958130854.0,2024
The Avengers,1518812988.0,623357910.0,895455078.0,2012
Furious 7,1515047671.0,353007020.0,1162040651.0,2015
Top Gun: Maverick,1495696292.0,718732821.0,776963471.0,2022
Frozen II,1450026933.0,477373578.0,972653355.0,2019
Barbie,1445638421.0,636238421.0,809400000.0,2023
Avengers: Age of Ultron,1402805868.0,459005868.0,943800000.0,2015
The Super Mario Bros. Movie,1361992475.0,574934330.0,787058145.0,2023
Black Panther,1346913161.0,700059566.0,646853595.0,2018
Harry Potter and the Deathly Hallows: Part 2,1341511219.0,381011219.0,960500000.0,2011
Star Wars: Episode VIII 0 The Last Jedi,1332539889.0,620181382.0,712358507.0,2017
Jurassic World: Fallen Kingdom,1308467944.0,417719760.0,890748184.0,2018
Frozen,1280802282.0,400738009.0,880064273.0,2013
Beauty and the Beast,1263521126.0,504014165.0,759506961.0,2017
Incredibles 2,1242805359.0,608581744.0,634223615.0,2018
The Fate of the Furious,1236005118.0,226008385.0,1009996733.0,2017
Iron Man 3,1214811252.0,409013994.0,805797258.0,2013
Minions,1159398397.0,336045770.0,823352627.0,2015
Captain America: Civil War,1153296293.0,408084349.0,745211944.0,2016
Aquaman,1151961807.0,335061807.0,816900000.0,2018
The Lord of the Rings: The Return of the King,1140703091.0,377027325.0,763654686.0,2003
Spider0Man: Far from Home,1131927996.0,390532085.0,741395911.0,2019
Captain Marvel,1128274794.0,426829839.0,701444955.0,2019
Transformers: Dark of the Moon,1123794079.0,352390543.0,771403536.0,2011
Skyfall,1108561013.0,304360277.0,804200736.0,2012
Transformers: Age of Extinction,1104054072.0,245439076.0,858614996.0,2014
The Dark Knight Rises,1084939099.0,448139099.0,636800000.0,2012
Joker,1078751311.0,335451311.0,743300000.0,2019
Star Wars: Episode IX 0 The Rise of Skywalker,1074144248.0,515202542.0,558941706.0,2019
Toy Story 4,1073394593.0,434038008.0,639356585.0,2019
Toy Story 3,1066969703.0,415004880.0,651964823.0,2010
Pirates of the Caribbean: Dead Man's Chest,1066179725.0,423315812.0,642863913.0,2006
Rogue One: A Star Wars Story,1056057273.0,532177324.0,523879949.0,2016
Aladdin,1050693953.0,355559216.0,695134737.0,2019
Pirates of the Caribbean: On Stranger Tides,1045713802.0,241071802.0,804642000.0,2011
